model,MAE,RMSE,MAPE,order,window
ARIMA (dengan exog),466.4946931209897,519.789973323266,2.8525628957592533,"(0, 1, 2)",
LSTM,417.52693273848354,462.5351006654987,2.5615045523125457,,6.0
